varname,label,dtype,unique,missing_pct
Version,Version,object,1,0.0
VCF0004,VCF0004,int64,32,0.0
VCF0006,VCF0006,int64,15141,0.0
VCF0006a,nan,int64,59773,0.0
VCF0009x,"WEIGHT: FOR 1970 TYPE 0 - 2012,2016 FTF SAMPLE",object,6605,0.0
VCF0010x,"WEIGHT: FOR 1970 TYPE 1 - 2012,2016 FTF SAMPLE",object,6605,0.0
VCF0011x,"WEIGHT: FOR 1970 TYPE 2 - 2012,2016 FTF SAMPLE",object,6605,0.0
VCF0009y,"WEIGHT: FOR 1970 TYPE 0 - 2012,2016 WEB SAMPLE",object,8032,0.0
VCF0010y,"WEIGHT: FOR 1970 TYPE 1 - 2012,2016 WEB SAMPLE",object,8032,0.0
VCF0011y,"WEIGHT: FOR 1970 TYPE 2 - 2012,2016 WEB SAMPLE",object,8032,0.0
VCF0009z,nan,float64,17529,0.0
VCF0010z,"WEIGHT: FOR 1970 TYPE 1 - 2012,2016 FULL SAMPLE",float64,17530,0.0
VCF0011z,"WEIGHT: FOR 1970 TYPE 2 - 2012,2016 FULL SAMPLE",float64,17530,0.0
VCF9999,WEIGHT: POST-ELECTION WEIGHT FULL SAMPLE,object,12876,0.0
VCF0012,.),object,4,0.0
VCF0013,COMPLETION - POST-ELECTION (FLAG),int64,2,0.0
VCF0014,COMPLETION - PRE-ELECTION (FLAG),int64,2,0.0
VCF0015a,); question not used,object,4,0.0
VCF0015b,ABBREVIATED INTERVIEW - POST,object,4,0.0
VCF0016,nan,object,3,0.0
VCF0017,MODE OF INTERVIEW,int64,6,0.0
VCF0018a,LANGUAGE OF INTERVIEW - PRE,object,6,0.0
VCF0018b,LANGUAGE OF INTERVIEW - POST,object,8,0.0
VCF0019,R RELATIONSHIP TO HEAD OF HH 1952-1986,object,6,0.0
VCF0050a,RESPONDENT LEVEL OF POLITICAL INFO - PRE,object,7,0.0
VCF0050b,RESPONDENT LEVEL OF POLITICAL INFO - POST,object,8,0.0
VCF0070a,INTERVIEWER GENDER - PRE,object,4,0.0
VCF0070b,INTERVIEWER GENDER - POST,object,5,0.0
VCF0071a,.,object,7,0.0
VCF0071b,INTERVIEWER RACE FULL - POST,object,8,0.0
VCF0071c,INTERVIEWER RACE 2-CATEGORY - PRE,object,4,0.0
VCF0071d,INTERVIEWER RACE 2-CATEGORY - POST,object,5,0.0
VCF0072a,INTERVIEWER ETHNICITY - PRE,object,5,0.0
VCF0072b,INTERVIEWER ETHNICITY - POST,object,6,0.0
VCF0101,RESPONDENT - AGE,object,85,0.0
VCF0102,RESPONDENT - AGE GROUP,int64,8,0.0
VCF0103,RESPONDENT - COHORT,int64,9,0.0
VCF0104,RESPONDENT - GENDER,int64,4,0.0
VCF0105a,"RACE-ETHNICITY SUMMARY, 7 CATEGORIES",object,9,0.0
VCF0105b,"RACE-ETHNICITY SUMMARY, 4 CATEGORIES",object,7,0.0
VCF0106,"RACE SUMMARY, 3 CATEGORIES",object,6,0.0
VCF0107,RESPONDENT - HISPANIC ORIGIN TYPE,object,9,0.0
VCF0108,RESPONDENT - HISPANIC ORIGIN,object,6,0.0
VCF0109,RESPONDENT - ETHNICITY,object,99,0.0
VCF0110,RESPONDENT - EDUCATION 4-CATEGORY,int64,5,0.0
VCF0111,URBANISM,object,5,0.0
VCF0112,CENSUS REGION,object,5,0.0
VCF0113,POLITICAL SOUTH/NONSOUTH,object,3,0.0
VCF0114,RESPONDENT FAMILY - INCOME GROUP,object,7,0.0
VCF0115,RESPONDENT - OCCUPATION GROUP 6-CATEGORY,object,8,0.0
VCF0116,RESPONDENT - WORK STATUS 7-CATEGORY,object,9,0.0
VCF0117,HEAD OF HH - WORK STATUS 7-CATEGORY 1948-1986,object,9,0.0
VCF0118,RESPONDENT - WORK STATUS 5-CATEGORY,object,7,0.0
VCF0119,HEAD OF HH - WORK STATUS 5-CATEGORY 1952-1986,object,7,0.0
VCF0120,RESPONDENT - PRESTIGE SCORE S.E.I. RANK 1976-1984,object,375,0.0
VCF0121,HEAD OF HH - PRESTIGE SCORE S.E.I. RANK 1976-1984,object,396,0.0
VCF0122,RESPONDENT - PRESTIGE SCORE NORC RANK 1976-1982,object,235,0.0
VCF0123,HEAD OF HH - PRESTIGE SCORE NORC RANK 1976-1982,object,233,0.0
VCF0124,RESPONDENT - PRESTIGE SCORE S.E.S. RANK 1968-1974,object,92,0.0
VCF0125,HEAD OF HH - PRESTIGE SCORE S.E.S. RANK 1968-1974,object,91,0.0
VCF0126,nan,object,7,0.0
VCF0126a,nan,object,11,0.0
VCF0126b,nan,object,19,0.0
VCF0126c,nan,object,18,0.0
VCF0127,HOUSEHOLD - UNION MEMBERSHIP,object,4,0.0
VCF0127a,HOUSEHOLD - WHO BELONGS TO UNION 8-CATEGORY,object,10,0.0
VCF0127b,HOUSEHOLD - WHO BELONGS TO UNION 4-CATEGORY,object,6,0.0
VCF0128,RESPONDENT - RELIGION MAJOR GROUP,int64,5,0.0
VCF0128a,RESPONDENT - RELIGION 7-CATEGORY 1960-1988,object,9,0.0
VCF0128b,RESPONDENT - RELIGION 8-CATEGORY 1990-1996,object,10,0.0
VCF0129,"RESPONDENT - RELIGION FULL CODE 1960-1988,2002",object,58,0.0
VCF0130,RESPONDENT - CHURCH ATTENDANCE 1970-,object,10,0.0
VCF0130a,RESPONDENT - CHURCH ATTENDANCE 1990-,object,9,0.0
VCF0131,RESPONDENT - CHURCH ATTENDANCE 1952-1968,object,8,0.0
VCF0132,RESPONDENT - WHERE GREW UP: STATE 1968-,object,151,0.0
VCF0133,RESPONDENT - WHERE GREW UP: STATE 1952-1966,object,107,0.0
VCF0134,"RESPONDENT - WHERE GREW UP: FARM 1952-1994,2000",object,5,0.0
VCF0135,nan,object,5,0.0
VCF0136,RESPONDENT - WHERE GREW UP: URBANISM 1956-1976,object,7,0.0
VCF0137,RESPONDENT - WHERE GREW UP: URBANISM 1978-2000,object,10,0.0
VCF0138,NUMBER OF CHILDREN IN FAMILY,object,6,0.0
VCF0138a,NUMBER CHILDREN UNDER AGE 6 IN HH,object,8,0.0
VCF0138b,NUMBER CHILDREN AGES 6-9 IN HH,object,7,0.0
VCF0138c,NUMBER CHILDREN AGES 10-13 IN HH,object,7,0.0
VCF0138d,NUMBER CHILDREN AGES 14-17 IN HH,object,7,0.0
VCF0138e,AGE YOUNGEST CHILD IN HH,object,10,0.0
VCF0139,RESPONDENT - HOW MANY CHILDREN DOES R HAVE,object,11,0.0
VCF0140,RESPONDENT - EDUCATION 6-CATEGORY,object,9,0.0
VCF0140a,RESPONDENT - EDUCATION 7-CATEGORY,object,10,0.0
VCF0141,HEAD OF HH - EDUCATION 6-CATEGORY 1962-1986,object,9,0.0
VCF0142,RESPONDENT - PLACE OF BIRTH,object,142,0.0
VCF0143,", then VCF0144 and VCF0145 have been coded 199.",object,5,0.0
VCF0144,RESPONDENT FATHER - WHERE BORN,object,77,0.0
VCF0145,RESPONDENT MOTHER - WHERE BORN,object,78,0.0
VCF0146,RESPONDENT FAMILY - HOME OWNERSHIP,object,5,0.0
VCF0147,", with no 1952 cases appearing in codes 2-7.",object,9,0.0
VCF0148,RESPONDENT - SOCIAL CLASS 8-CATEGORY,object,10,0.0
VCF0148a,nan,object,8,0.0
VCF0149,nan,object,8,0.0
VCF0150,RESPONDENT - WORK STATUS 16-CATEGORY,object,18,0.0
VCF0151,RESPONDENT - OCCUPATION GROUP 5-CATEGORY,object,8,0.0
VCF0152,RESPONDENT - RELIGION FULL CODE 1990-,object,131,0.0
VCF0153a,nan,object,11,0.0
VCF0153b,nan,object,19,0.0
VCF0153c,nan,object,19,0.0
VCF0154a,RESPONDENT - OCCUPATION 71-CATEGORY,object,73,0.0
VCF0154b,RESPONDENT - OCCUPATION 14-CATEGORY,object,16,0.0
VCF0155,RESPONDENT - WORRIED ABOUT FIND/LOSING JOB,object,7,0.0
VCF0156,RESPONDENT - WORKING R LAID OFF LAST 6 MONTHS,object,6,0.0
VCF0157,nan,object,6,0.0
VCF0170a,COUNTY OF IW 1956-1960,object,107,0.0
VCF0170b,COUNTY OF IW 1964-1976,object,148,0.0
VCF0170c,COUNTY OF IW 1968-1982,object,188,0.0
VCF0170d,"COUNTY OF IW 1970,1978-1998",object,332,0.0
VCF0201,THERMOMETER - DEMOCRATS,object,40,0.0
VCF0202,THERMOMETER - REPUBLICANS,object,41,0.0
VCF0203,THERMOMETER - PROTESTANTS,object,52,0.0
VCF0204,THERMOMETER - CATHOLICS,object,69,0.0
VCF0205,THERMOMETER - JEWS,object,90,0.0
VCF0206,THERMOMETER - BLACKS,object,95,0.0
VCF0207,THERMOMETER - WHITES,object,93,0.0
VCF0208,THERMOMETER - SOUTHERNERS,object,39,0.0
VCF0209,THERMOMETER - BIG BUSINESS,object,101,0.0
VCF0210,THERMOMETER - LABOR UNIONS,object,100,0.0
VCF0211,THERMOMETER - LIBERALS,object,101,0.0
VCF0212,". This sum is then divided by 2, and .5 is added to the",object,100,0.0
VCF0213,THERMOMETER - MILITARY,object,70,0.0
VCF0214,THERMOMETER - POLICEMEN/POLICE,object,95,0.0
VCF0215,THERMOMETER - BLACK MILITANTS,object,37,0.0
VCF0216,THERMOMETER - CIVIL RIGHTS LEADERS,object,40,0.0
VCF0217,THERMOMETER - CHICANOS/HISPANICS,object,99,0.0
